,OFFENSE_DESCRIPTION,DISTRICT,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,Lat,Long,Location,DAY,Hour,OFFENSE_CATEGORY,District_Names
1605,AUTO THEFT - MOTORCYCLE / SCOOTER,B2,0,2022-02-20 15:00:00,2022,2,Sunday,15,42.31195474564685,-71.07871912007954,"(42.311954745646844, -71.07871912007954)",20,15:00:00,THEFT-DAMAGE,Roxbury
1606,VANDALISM,B2,0,2022-03-05 09:30:00,2022,3,Saturday,9,42.32872588572028,-71.08382216968015,"(42.32872588572028, -71.08382216968015)",05,09:30:00,THEFT-DAMAGE,Roxbury
1607,ARSON,B2,0,2022-03-05 02:22:00,2022,3,Saturday,2,42.33201285064138,-71.09598981964692,"(42.33201285064138, -71.09598981964692)",05,02:22:00,THREAT,Roxbury
1608,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,0,2022-03-05 04:10:00,2022,3,Saturday,4,42.32512998300707,-71.07042895585468,"(42.32512998300707, -71.07042895585468)",05,04:10:00,ARMS RELATED,Roxbury
1610,INVESTIGATE PERSON,B2,0,2022-03-05 02:17:00,2022,3,Saturday,2,42.33431858702245,-71.09621109538546,"(42.33431858702245, -71.09621109538546)",05,02:17:00,WARRANT-INVESTIGATION,Roxbury
1611,VAL - OPERATING AFTER REV/SUSP.,B2,0,2022-03-05 02:30:00,2022,3,Saturday,2,42.32180097888306,-71.07728294393453,"(42.32180097888306, -71.07728294393453)",05,02:30:00,UNLAWFUL OPERATION,Roxbury
1612,INVESTIGATE PROPERTY,B2,0,2022-03-05 01:17:00,2022,3,Saturday,1,42.33282636792726,-71.10542116517938,"(42.33282636792726, -71.10542116517938)",05,01:17:00,WARRANT-INVESTIGATION,Roxbury
1613,MISSING PERSON,B2,0,2022-03-04 23:29:00,2022,3,Friday,23,42.30970015593802,-71.08582414153403,"(42.30970015593802, -71.08582414153403)",04,23:29:00,MISSING PERSON - KIDNAPPING,Roxbury
1614,TOWED MOTOR VEHICLE,B2,0,2022-03-04 22:52:00,2022,3,Friday,22,42.31127725586286,-71.08909334113278,"(42.31127725586286, -71.08909334113278)",04,22:52:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1615,M/V ACCIDENT - OTHER,B2,0,2022-03-04 21:59:00,2022,3,Friday,21,42.32666510333252,-71.08749031139891,"(42.326665103332516, -71.08749031139891)",04,21:59:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1616,VERBAL DISPUTE,B2,0,2022-03-04 20:34:00,2022,3,Friday,20,42.31696649906326,-71.08254057648374,"(42.31696649906326, -71.08254057648374)",04,20:34:00,HARASSMENT-VERBAL,Roxbury
1617,M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,B2,0,2022-03-04 19:41:00,2022,3,Friday,19,42.316883000728446,-71.07806304322322,"(42.316883000728446, -71.07806304322322)",04,19:41:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1618,SICK ASSIST,B2,0,2022-03-04 18:50:00,2022,3,Friday,18,42.33056976709614,-71.0995908942997,"(42.33056976709614, -71.0995908942997)",04,18:50:00,SICK-INJURED,Roxbury
1619,INVESTIGATE PERSON,B2,0,2022-03-04 16:46:00,2022,3,Friday,16,42.32579408123605,-71.08563758118875,"(42.32579408123605, -71.08563758118875)",04,16:46:00,WARRANT-INVESTIGATION,Roxbury
1620,M/V ACCIDENT - POLICE VEHICLE,B2,0,2022-02-19 08:00:00,2022,2,Saturday,8,42.33367921810846,-71.09187754618458,"(42.33367921810846, -71.09187754618458)",19,08:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1621,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-02 16:00:00,2022,3,Wednesday,16,42.309114219458586,-71.08667125999213,"(42.309114219458586, -71.08667125999213)",02,16:00:00,THEFT-DAMAGE,Roxbury
1622,M/V PLATES - LOST,B2,0,2022-03-03 14:00:00,2022,3,Thursday,14,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,14:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1623,VANDALISM,B2,0,2022-03-04 16:14:00,2022,3,Friday,16,42.330025918688285,-71.08266939209236,"(42.330025918688285, -71.08266939209236)",04,16:14:00,THEFT-DAMAGE,Roxbury
1624,M/V ACCIDENT - OTHER,B2,0,2022-03-04 15:21:00,2022,3,Friday,15,42.32503303219874,-71.0691570479584,"(42.32503303219874, -71.0691570479584)",04,15:21:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1625,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-04 14:19:00,2022,3,Friday,14,42.31633753935208,-71.09326914852244,"(42.316337539352084, -71.09326914852244)",04,14:19:00,SICK-INJURED,Roxbury
1627,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-01 16:00:00,2022,3,Tuesday,16,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",01,16:00:00,THEFT-DAMAGE,Roxbury
1628,VANDALISM,B2,0,2022-02-27 10:00:00,2022,2,Sunday,10,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",27,10:00:00,THEFT-DAMAGE,Roxbury
1629,VANDALISM,B2,0,2022-03-03 12:00:00,2022,3,Thursday,12,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,12:00:00,THEFT-DAMAGE,Roxbury
1630,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),B2,0,2022-03-04 11:21:00,2022,3,Friday,11,42.32156499510669,-71.07011795025619,"(42.32156499510669, -71.07011795025619)",04,11:21:00,THEFT-DAMAGE,Roxbury
1631,INVESTIGATE PERSON,B2,0,2022-03-03 12:15:00,2022,3,Thursday,12,42.32617420657356,-71.08118336227888,"(42.32617420657356, -71.08118336227888)",03,12:15:00,WARRANT-INVESTIGATION,Roxbury
1632,SICK ASSIST,B2,0,2022-03-04 09:38:00,2022,3,Friday,9,42.31295496588224,-71.0834507179483,"(42.312954965882234, -71.0834507179483)",04,09:38:00,SICK-INJURED,Roxbury
1633,FRAUD - FALSE PRETENSE / SCHEME,B2,0,2022-02-08 17:45:00,2022,2,Tuesday,17,42.323189737203,-71.08356388673099,"(42.323189737203, -71.08356388673099)",08,17:45:00,FRAUD - FINANCIAL,Roxbury
1634,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-04 09:25:00,2022,3,Friday,9,42.3249232816322,-71.08069052582721,"(42.3249232816322, -71.08069052582721)",04,09:25:00,SICK-INJURED,Roxbury
1635,FRAUD - CREDIT CARD / ATM FRAUD,B2,0,2022-03-03 12:00:00,2022,3,Thursday,12,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,12:00:00,FRAUD - FINANCIAL,Roxbury
1636,M/V ACCIDENT - PROPERTY DAMAGE,B2,0,2022-03-04 01:57:00,2022,3,Friday,1,42.331639031807214,-71.09610797513434,"(42.331639031807214, -71.09610797513434)",04,01:57:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1637,VERBAL DISPUTE,B2,0,2022-03-04 01:07:00,2022,3,Friday,1,42.31862925779492,-71.07271364642999,"(42.31862925779492, -71.07271364642999)",04,01:07:00,HARASSMENT-VERBAL,Roxbury
1638,VAL - OPERATING AFTER REV/SUSP.,B2,0,2022-03-04 00:59:00,2022,3,Friday,0,42.32022881687084,-71.06307062900677,"(42.32022881687084, -71.06307062900677)",04,00:59:00,UNLAWFUL OPERATION,Roxbury
1639,WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,B2,0,2022-03-04 01:00:00,2022,3,Friday,1,42.32712998715469,-71.07663998539213,"(42.32712998715469, -71.07663998539213)",04,01:00:00,ARMS RELATED,Roxbury
1640,INVESTIGATE PERSON,B2,0,2022-03-04 00:12:00,2022,3,Friday,0,42.30698421067936,-71.07827069507675,"(42.30698421067936, -71.07827069507675)",04,00:12:00,WARRANT-INVESTIGATION,Roxbury
1641,SEARCH WARRANT,B2,0,2022-03-03 23:09:00,2022,3,Thursday,23,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,23:09:00,WARRANT-INVESTIGATION,Roxbury
1642,ASSAULT - AGGRAVATED,B2,0,2022-03-03 22:47:00,2022,3,Thursday,22,42.31071077309027,-71.07876812632837,"(42.31071077309027, -71.07876812632837)",03,22:47:00,ASSAULT,Roxbury
1643,FIRE REPORT,B2,0,2022-03-03 20:14:00,2022,3,Thursday,20,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,20:14:00,FIRE-DANGER,Roxbury
1644,MISSING PERSON - LOCATED,B2,0,2022-03-03 20:20:00,2022,3,Thursday,20,42.31521133766155,-71.0878359242823,"(42.31521133766155, -71.0878359242823)",03,20:20:00,MISSING PERSON - KIDNAPPING,Roxbury
1645,M/V ACCIDENT - PERSONAL INJURY,B2,0,2022-03-03 21:00:00,2022,3,Thursday,21,42.31956878792708,-71.07776263706329,"(42.31956878792708, -71.07776263706329)",03,21:00:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1646,VERBAL DISPUTE,B2,0,2022-03-03 18:45:00,2022,3,Thursday,18,42.3333819998324,-71.08745421330494,"(42.3333819998324, -71.08745421330494)",03,18:45:00,HARASSMENT-VERBAL,Roxbury
1647,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-03 19:27:00,2022,3,Thursday,19,42.31193742600193,-71.0834208844506,"(42.31193742600193, -71.0834208844506)",03,19:27:00,SICK-INJURED,Roxbury
1648,M/V ACCIDENT - OTHER,B2,0,2022-02-27 07:58:00,2022,2,Sunday,7,42.333080973812834,-71.10165376292404,"(42.333080973812834, -71.10165376292404)",27,07:58:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1649,SICK ASSIST,B2,0,2022-03-03 19:06:00,2022,3,Thursday,19,42.33117802433381,-71.07482102241434,"(42.33117802433381, -71.07482102241434)",03,19:06:00,SICK-INJURED,Roxbury
1650,INVESTIGATE PERSON,B2,0,2022-03-03 18:30:00,2022,3,Thursday,18,42.31441221984899,-71.08530389775323,"(42.31441221984899, -71.08530389775323)",03,18:30:00,WARRANT-INVESTIGATION,Roxbury
1651,INVESTIGATE PROPERTY,B2,0,2022-03-03 16:21:00,2022,3,Thursday,16,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,16:21:00,WARRANT-INVESTIGATION,Roxbury
1652,TRESPASSING,B2,0,2022-03-03 15:47:00,2022,3,Thursday,15,42.31989005521876,-71.07626208688092,"(42.31989005521876, -71.07626208688092)",03,15:47:00,TRESPASSING,Roxbury
1653,SICK ASSIST,B2,0,2022-03-03 15:42:00,2022,3,Thursday,15,42.316321305820594,-71.08923049704752,"(42.316321305820594, -71.08923049704752)",03,15:42:00,SICK-INJURED,Roxbury
1654,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-03 13:42:00,2022,3,Thursday,13,42.30919421716844,-71.08488946075343,"(42.30919421716844, -71.08488946075343)",03,13:42:00,SICK-INJURED,Roxbury
1655,INVESTIGATE PROPERTY,B2,0,2022-03-03 00:00:00,2022,3,Thursday,0,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",03,00:00:00,WARRANT-INVESTIGATION,Roxbury
1656,SEARCH WARRANT,B2,0,2022-03-03 00:00:00,2022,3,Thursday,0,42.30433950317517,-71.08477886912476,"(42.304339503175164, -71.08477886912476)",03,00:00:00,WARRANT-INVESTIGATION,Roxbury
1657,SICK ASSIST,B2,0,2022-03-03 13:08:00,2022,3,Thursday,13,42.33744151891779,-71.10428095571272,"(42.33744151891779, -71.10428095571272)",03,13:08:00,SICK-INJURED,Roxbury
1659,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-03 12:08:00,2022,3,Thursday,12,42.33598566629309,-71.09971741405019,"(42.33598566629309, -71.09971741405019)",03,12:08:00,THEFT-DAMAGE,Roxbury
1660,VANDALISM,B2,0,2022-03-03 12:53:00,2022,3,Thursday,12,42.317663954769,-71.06650903194333,"(42.317663954769, -71.06650903194333)",03,12:53:00,THEFT-DAMAGE,Roxbury
1661,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-03 09:58:00,2022,3,Thursday,9,42.33013124160572,-71.10138007967286,"(42.33013124160572, -71.10138007967286)",03,09:58:00,THEFT-DAMAGE,Roxbury
1662,"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",B2,0,2022-03-03 12:30:00,2022,3,Thursday,12,42.32274490947884,-71.07799077188976,"(42.32274490947884, -71.07799077188976)",03,12:30:00,ANIMAL RELATED,Roxbury
1663,HARASSMENT/ CRIMINAL HARASSMENT,B2,0,2022-03-03 12:23:00,2022,3,Thursday,12,42.31521133766155,-71.0878359242823,"(42.31521133766155, -71.0878359242823)",03,12:23:00,HARASSMENT-VERBAL,Roxbury
1664,INVESTIGATE PERSON,B2,0,2022-03-03 00:00:00,2022,3,Thursday,0,42.30889840345595,-71.08305190474378,"(42.30889840345595, -71.08305190474378)",03,00:00:00,WARRANT-INVESTIGATION,Roxbury
1666,PROPERTY - LOST/ MISSING,B2,0,2022-03-03 11:37:00,2022,3,Thursday,11,42.30956304852217,-71.08990196681202,"(42.30956304852217, -71.08990196681202)",03,11:37:00,PROPERTY LOSS,Roxbury
1668,TOWED MOTOR VEHICLE,B2,0,2022-03-03 10:24:00,2022,3,Thursday,10,42.31952351514988,-71.09056323247084,"(42.319523515149875, -71.09056323247084)",03,10:24:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1669,VANDALISM,B2,0,2022-03-02 23:30:00,2022,3,Wednesday,23,42.3350621776333,-71.0931678123782,"(42.335062177633304, -71.0931678123782)",02,23:30:00,THEFT-DAMAGE,Roxbury
1670,SICK ASSIST,B2,0,2022-03-03 09:37:00,2022,3,Thursday,9,42.32898192678263,-71.07956761305158,"(42.328981926782625, -71.07956761305158)",03,09:37:00,SICK-INJURED,Roxbury
1671,LARCENY SHOPLIFTING,B2,0,2022-03-03 07:48:00,2022,3,Thursday,7,42.308969992788,-71.08284838641052,"(42.308969992788, -71.08284838641052)",03,07:48:00,SICK-INJURED,Roxbury
1672,MISSING PERSON,B2,0,2022-03-02 07:00:00,2022,3,Wednesday,7,42.31332152866304,-71.07591511383562,"(42.31332152866304, -71.07591511383562)",02,07:00:00,MISSING PERSON - KIDNAPPING,Roxbury
1673,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-02 20:00:00,2022,3,Wednesday,20,42.31986039893664,-71.0643412009513,"(42.31986039893664, -71.0643412009513)",02,20:00:00,THEFT-DAMAGE,Roxbury
1674,SERVICE TO OTHER AGENCY,B2,0,2022-03-03 00:00:00,2022,3,Thursday,0,42.33962337739587,-71.10649736990382,"(42.33962337739587, -71.10649736990382)",03,00:00:00,OTHER,Roxbury
1675,VANDALISM,B2,0,2022-03-01 03:00:00,2022,3,Tuesday,3,42.31012904650881,-71.07484821004398,"(42.31012904650881, -71.07484821004398)",01,03:00:00,THEFT-DAMAGE,Roxbury
1676,BALLISTICS EVIDENCE/FOUND,B2,1,2022-03-03 03:56:00,2022,3,Thursday,3,42.32188452678773,-71.08306612138695,"(42.32188452678773, -71.08306612138695)",03,03:56:00,ARMS RELATED,Roxbury
1677,INVESTIGATE PROPERTY,B2,0,2022-03-03 01:05:00,2022,3,Thursday,1,42.33750090033593,-71.095830939914,"(42.33750090033593, -71.095830939914)",03,01:05:00,WARRANT-INVESTIGATION,Roxbury
1678,SICK ASSIST,B2,0,2022-03-03 01:02:00,2022,3,Thursday,1,42.3125962960786,-71.09287583752645,"(42.312596296078596, -71.09287583752645)",03,01:02:00,SICK-INJURED,Roxbury
1679,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-02 22:39:00,2022,3,Wednesday,22,42.32324394302976,-71.07642483145501,"(42.32324394302976, -71.07642483145501)",02,22:39:00,SICK-INJURED,Roxbury
1680,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-01 00:00:00,2022,3,Tuesday,0,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",01,00:00:00,THEFT-DAMAGE,Roxbury
1681,INVESTIGATE PERSON,B2,0,2022-03-02 20:29:00,2022,3,Wednesday,20,42.33500229145477,-71.10169759990927,"(42.33500229145477, -71.10169759990927)",02,20:29:00,WARRANT-INVESTIGATION,Roxbury
1682,INVESTIGATE PROPERTY,B2,1,2022-03-02 20:43:00,2022,3,Wednesday,20,42.31959656514034,-71.0745888978445,"(42.319596565140344, -71.0745888978445)",02,20:43:00,WARRANT-INVESTIGATION,Roxbury
1683,M/V ACCIDENT - OTHER,B2,0,2022-03-02 19:14:00,2022,3,Wednesday,19,42.31083002747789,-71.08155997299777,"(42.310830027477884, -71.08155997299777)",02,19:14:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1684,VERBAL DISPUTE,B2,0,2022-03-02 19:19:00,2022,3,Wednesday,19,42.306039739089485,-71.08621240213076,"(42.306039739089485, -71.08621240213076)",02,19:19:00,HARASSMENT-VERBAL,Roxbury
1685,INVESTIGATE PROPERTY,B2,0,2022-03-02 18:38:00,2022,3,Wednesday,18,42.32031741077397,-71.08732302017418,"(42.320317410773974, -71.08732302017418)",02,18:38:00,WARRANT-INVESTIGATION,Roxbury
1686,SICK ASSIST,B2,0,2022-03-02 17:36:00,2022,3,Wednesday,17,42.32354782562027,-71.07225002611413,"(42.32354782562027, -71.07225002611413)",02,17:36:00,SICK-INJURED,Roxbury
1687,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,0,2022-03-02 16:40:00,2022,3,Wednesday,16,42.32832225818695,-71.0832149449927,"(42.32832225818695, -71.0832149449927)",02,16:40:00,ARMS RELATED,Roxbury
1688,VANDALISM,B2,0,2022-02-25 03:00:00,2022,2,Friday,3,42.30866067881199,-71.08818432666394,"(42.30866067881199, -71.08818432666394)",25,03:00:00,THEFT-DAMAGE,Roxbury
1689,M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,B2,0,2022-03-02 13:49:00,2022,3,Wednesday,13,42.33202303325264,-71.11208803629012,"(42.33202303325264, -71.11208803629012)",02,13:49:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1690,LARCENY THEFT FROM BUILDING,B2,0,2022-03-02 12:11:00,2022,3,Wednesday,12,42.3336409834866,-71.10088910331768,"(42.3336409834866, -71.10088910331768)",02,12:11:00,SICK-INJURED,Roxbury
1691,PROPERTY - LOST/ MISSING,B2,0,2022-03-01 15:00:00,2022,3,Tuesday,15,42.3077502395542,-71.08273084088506,"(42.307750239554196, -71.08273084088506)",01,15:00:00,PROPERTY LOSS,Roxbury
1692,ASSAULT - SIMPLE,B2,0,2022-03-02 11:13:00,2022,3,Wednesday,11,42.30978746396177,-71.08503095846625,"(42.30978746396177, -71.08503095846625)",02,11:13:00,ASSAULT,Roxbury
1693,INVESTIGATE PERSON,B2,0,2022-03-02 11:31:00,2022,3,Wednesday,11,42.312750307068974,-71.0938873579778,"(42.312750307068974, -71.0938873579778)",02,11:31:00,WARRANT-INVESTIGATION,Roxbury
1694,VAL - VIOLATION OF AUTO LAW,B2,0,2022-03-02 11:48:00,2022,3,Wednesday,11,42.32746198071548,-71.0985252669423,"(42.32746198071548, -71.0985252669423)",02,11:48:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1695,INVESTIGATE PROPERTY,B2,0,2022-03-01 12:00:00,2022,3,Tuesday,12,42.32324394302976,-71.07642483145501,"(42.32324394302976, -71.07642483145501)",01,12:00:00,WARRANT-INVESTIGATION,Roxbury
1696,ASSAULT - SIMPLE,B2,0,2022-02-28 12:30:00,2022,2,Monday,12,42.3312377558529,-71.09140736221293,"(42.331237755852904, -71.09140736221293)",28,12:30:00,ASSAULT,Roxbury
1697,SICK ASSIST,B2,0,2022-03-02 08:05:00,2022,3,Wednesday,8,42.30455371914908,-71.082953663996,"(42.30455371914908, -71.082953663996)",02,08:05:00,SICK-INJURED,Roxbury
1698,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-02 09:07:00,2022,3,Wednesday,9,42.33210202800134,-71.07928294139043,"(42.33210202800134, -71.07928294139043)",02,09:07:00,THEFT-DAMAGE,Roxbury
1699,VAL - VIOLATION OF AUTO LAW,B2,0,2022-03-02 08:57:00,2022,3,Wednesday,8,42.33412299529937,-71.08745202741365,"(42.33412299529937, -71.08745202741365)",02,08:57:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1700,ASSAULT - SIMPLE,B2,0,2022-03-02 08:05:00,2022,3,Wednesday,8,42.33330170452234,-71.0818167495313,"(42.33330170452234, -71.0818167495313)",02,08:05:00,ASSAULT,Roxbury
1701,WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,B2,0,2022-03-02 07:06:00,2022,3,Wednesday,7,42.332487592773184,-71.08365801177693,"(42.332487592773184, -71.08365801177693)",02,07:06:00,WARRANT-INVESTIGATION,Roxbury
1702,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-02 03:12:00,2022,3,Wednesday,3,42.32742591182293,-71.07702562168143,"(42.32742591182293, -71.07702562168143)",02,03:12:00,SICK-INJURED,Roxbury
1703,VAL - VIOLATION OF AUTO LAW,B2,0,2022-03-02 01:24:00,2022,3,Wednesday,1,42.31198698954904,-71.07194994885913,"(42.311986989549034, -71.07194994885913)",02,01:24:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1704,THREATS TO DO BODILY HARM,B2,0,2022-03-01 23:03:00,2022,3,Tuesday,23,42.33267993726428,-71.10957900161517,"(42.33267993726428, -71.10957900161517)",01,23:03:00,THREAT,Roxbury
1705,LANDLORD - TENANT,B2,0,2022-03-01 23:02:00,2022,3,Tuesday,23,42.31679541500612,-71.079645623217,"(42.31679541500612, -71.079645623217)",01,23:02:00,DISTURBANCE,Roxbury
1706,LARCENY THEFT FROM BUILDING,B2,0,2022-03-01 22:35:00,2022,3,Tuesday,22,42.31163119504438,-71.06974316294327,"(42.31163119504438, -71.06974316294327)",01,22:35:00,SICK-INJURED,Roxbury
1707,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-03-01 21:17:00,2022,3,Tuesday,21,42.311160543424826,-71.07548091402677,"(42.311160543424826, -71.07548091402677)",01,21:17:00,THEFT-DAMAGE,Roxbury
1708,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,2022-03-01 19:36:00,2022,3,Tuesday,19,42.30846803058291,-71.08327694723572,"(42.30846803058291, -71.08327694723572)",01,19:36:00,DRUG ALCOHOL RELATED,Roxbury
1709,SICK ASSIST,B2,0,2022-03-01 14:30:00,2022,3,Tuesday,14,42.33093363054242,-71.10956443255984,"(42.33093363054242, -71.10956443255984)",01,14:30:00,SICK-INJURED,Roxbury
1710,AUTO THEFT,B2,0,2022-03-01 20:15:00,2022,3,Tuesday,20,42.31021097011215,-71.07233700244721,"(42.31021097011215, -71.07233700244721)",01,20:15:00,THEFT-DAMAGE,Roxbury
1711,INVESTIGATE PERSON,B2,0,2022-03-01 19:49:00,2022,3,Tuesday,19,42.3301467820988,-71.10444485328667,"(42.3301467820988, -71.10444485328667)",01,19:49:00,WARRANT-INVESTIGATION,Roxbury
1712,M/V - LEAVING SCENE - PROPERTY DAMAGE,B2,0,2022-02-28 19:25:00,2022,2,Monday,19,42.329188637373285,-71.06990785663238,"(42.329188637373285, -71.06990785663238)",28,19:25:00,THEFT-DAMAGE,Roxbury
1713,THREATS TO DO BODILY HARM,B2,0,2022-03-01 19:35:00,2022,3,Tuesday,19,42.308969992788,-71.08284838641052,"(42.308969992788, -71.08284838641052)",01,19:35:00,THREAT,Roxbury
1714,ASSAULT - AGGRAVATED,B2,0,2022-03-01 19:13:00,2022,3,Tuesday,19,42.32978736584397,-71.08324801319625,"(42.32978736584397, -71.08324801319625)",01,19:13:00,ASSAULT,Roxbury
1715,LARCENY THEFT FROM BUILDING,B2,0,2022-03-01 17:15:00,2022,3,Tuesday,17,42.33485177908236,-71.11020434419133,"(42.33485177908236, -71.11020434419133)",01,17:15:00,SICK-INJURED,Roxbury
1716,M/V ACCIDENT - PERSONAL INJURY,B2,0,2022-03-01 17:23:00,2022,3,Tuesday,17,42.306039739089485,-71.08621240213076,"(42.306039739089485, -71.08621240213076)",01,17:23:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1717,DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,B2,0,2022-03-01 15:47:00,2022,3,Tuesday,15,42.30843998619466,-71.08319004420032,"(42.30843998619466, -71.08319004420032)",01,15:47:00,DRUG ALCOHOL RELATED,Roxbury
1718,PROPERTY - LOST/ MISSING,B2,0,2022-01-10 00:00:00,2022,1,Monday,0,42.32866283555608,-71.08563401183545,"(42.32866283555608, -71.08563401183545)",10,00:00:00,PROPERTY LOSS,Roxbury
1719,HARASSMENT/ CRIMINAL HARASSMENT,B2,0,2022-02-28 10:30:00,2022,2,Monday,10,42.3242287622139,-71.08140608911843,"(42.3242287622139, -71.08140608911843)",28,10:30:00,HARASSMENT-VERBAL,Roxbury
1720,VERBAL DISPUTE,B2,0,2022-03-01 14:53:00,2022,3,Tuesday,14,42.31015595353559,-71.07928346834971,"(42.31015595353559, -71.07928346834971)",01,14:53:00,HARASSMENT-VERBAL,Roxbury
1721,LARCENY ALL OTHERS,B2,0,2022-02-16 09:00:00,2022,2,Wednesday,9,42.33267993726428,-71.10957900161517,"(42.33267993726428, -71.10957900161517)",16,09:00:00,THEFT-DAMAGE,Roxbury
1722,HARASSMENT/ CRIMINAL HARASSMENT,B2,0,2022-03-01 13:47:00,2022,3,Tuesday,13,42.32031741077397,-71.08732302017418,"(42.320317410773974, -71.08732302017418)",01,13:47:00,HARASSMENT-VERBAL,Roxbury
1723,FRAUD - CREDIT CARD / ATM FRAUD,B2,0,2022-02-14 09:00:00,2022,2,Monday,9,42.31369016219415,-71.07696740941833,"(42.31369016219415, -71.07696740941833)",14,09:00:00,FRAUD - FINANCIAL,Roxbury
1724,M/V ACCIDENT - POLICE VEHICLE,B2,0,2022-02-23 18:30:00,2022,2,Wednesday,18,42.33367921810846,-71.09187754618458,"(42.33367921810846, -71.09187754618458)",23,18:30:00,ACCIDENT-VEHICLE RELATED VIOLATIONS,Roxbury
1726,SICK/INJURED/MEDICAL - PERSON,B2,0,2022-03-01 12:30:00,2022,3,Tuesday,12,42.31860133599805,-71.08405792241415,"(42.31860133599805, -71.08405792241415)",01,12:30:00,SICK-INJURED,Roxbury
1727,SICK ASSIST,B2,0,2022-03-01 11:25:00,2022,3,Tuesday,11,42.317685805627,-71.06656219007793,"(42.317685805627, -71.06656219007793)",01,11:25:00,SICK-INJURED,Roxbury
1728,INVESTIGATE PERSON,B2,0,2022-03-01 10:00:00,2022,3,Tuesday,10,42.33475847413533,-71.089039541094,"(42.33475847413533, -71.089039541094)",01,10:00:00,WARRANT-INVESTIGATION,Roxbury
1729,AUTO THEFT,B2,0,2022-02-28 07:00:00,2022,2,Monday,7,42.324203220067794,-71.07279043613084,"(42.324203220067794, -71.07279043613084)",28,07:00:00,THEFT-DAMAGE,Roxbury
1730,VANDALISM,B2,0,2022-03-01 08:43:00,2022,3,Tuesday,8,42.30565415158864,-71.08186812286667,"(42.305654151588634, -71.08186812286667)",01,08:43:00,THEFT-DAMAGE,Roxbury
